file,title,character,episode
compagnie001.mp3,"Églantine, ici Mirabelle",Colonel Blanchet,
compagnie002.mp3,Un p'tit bain pour le chef,Tassin,
compagnie003.mp3,Vous nagez bien,Pithiviers,
compagnie004.mp3,Restez groupir,Pithiviers,
compagnie005.mp3,"Un lapin, chef !",Tassin,
compagnie006.mp3,La tenaille 2,Sergent Chaudard,
compagnie007.mp3,Bonne nuit,Sergent Chaudard,
compagnie008.mp3,La mère Crouzy,,
compagnie009.mp3,Un vrai con,Lieutenant Piquet,
compagnie010.mp3,Quels sont les ordres ?,Colonel Blanchet,
compagnie011.mp3,Une femme d'extérieur,Pithiviers,
compagnie012.mp3,Suis pas le fil,Sergent Chaudard,
compagnie013.mp3,Un type formidable,Pithiviers,
compagnie014.mp3,Au chef !,Tassin,
compagnie015.mp3,Ça c'est con,Pithiviers,
compagnie016.mp3,Vive le chef,Pithiviers,
compagnie017.mp3,T'as fait du propre,Sergent Chaudard,
compagnie018.mp3,J'ai glissé chef,Pithiviers,
compagnie019.mp3,Je m'entends encore,Sergent Chaudard,
compagnie020.mp3,Le chef couvre,Tassin,
compagnie021.mp3,V'la le chef,Pithiviers,
compagnie022.mp3,Préparez les épices,Pithiviers,
compagnie023.mp3,Was ist das ?,,
compagnie024.mp3,Tu gagnes la guerre,Sergent Chaudard,
compagnie025.mp3,Plus tu tues...,Pithiviers,
compagnie026.mp3,Paulette,Sergent Chaudard,
compagnie027.mp3,Accélère,Sergent Chaudard,
compagnie028.mp3,Pas brillante votre affaire,Lieutenant Duvauchel,
compagnie029.mp3,On la fait ou on la fait pas,Sergent Chaudard,
compagnie030.mp3,Il en faut,Pithiviers,
compagnie031.mp3,La tenaille,Sergent Chaudard,
compagnie032.mp3,Tape au cul,Sergent Chaudard,
compagnie033.mp3,A manger pour 4,Pithiviers,
compagnie034.mp3,On est pressés,Pithiviers,
compagnie035.mp3,Je vais me fachir,Pithiviers,
compagnie036.mp3,Réseau,Sergent Chaudard,
compagnie037.mp3,On n'est pas échauffé,Sergent Chaudard,
compagnie038.mp3,Tremblez pas,Colonel Blanchet,
compagnie039.mp3,Pas si vite !,Colonel Blanchet,
compagnie040.mp3,Trouver à manger,Pithiviers,
compagnie041.mp3,On se lave,Sergent Chaudard,
compagnie042.mp3,J'ai glissé chef 2,Pithiviers,
compagnie043.mp3,Vouloir vin rouge,Pithiviers,
compagnie044.mp3,Du à l'ail,Pithiviers,
compagnie045.mp3,El hitelere,Pithiviers,
compagnie046.mp3,"Renoncule, ici coquelicot",Colonel Blanchet,
compagnie047.mp3,Fil rouge sur le bouton rouge,,
compagnie048.mp3,Il m'a fait peur,Tassin,
compagnie049.mp3,Gentils allemands,Pithiviers,
compagnie050.mp3,Elle le ficherait dehors,Pithiviers,
compagnie051.mp3,Ah tout de même !,Colonel Bricard,
compagnie052.mp3,Restez groupir !,,
compagnie053.mp3,Salope,Pithiviers,
compagnie054.mp3,Fil rouge sur le bouton blanc,Colonel Blanchet,
compagnie055.mp3,Bonjour Chaudard,Gaston,
compagnie056.mp3,Je n'aime que toi,Commandant Gilles,
compagnie057.mp3,Judéo maçonique,Lambert,
compagnie058.mp3,Générique,,
compagnie059.mp3,On va manoeuvrer !,Pithiviers,
compagnie060.mp3,Chateau vieux,Capitaine Dumont,
