file,title,character,episode
asterix_je_le_pousse_et_il_revient.mp3,Je le pousse et il revient.,Numérobis,Mission Cléopâtre
asterix_tu_vois_quand_tu_veux.mp3,Tu vois quand tu veux.,Numérobis,Mission Cléopâtre
asterix_ce_matin_un_lapin.mp3,Ce matin un lapin a tué un chasseur...,Otis,Mission Cléopâtre
asterix_je_veux_le_plus_beau_palais.mp3,Je veux le plus beau des palais.,Cléopâtre,Mission Cléopâtre
asterix_par_toutatis.mp3,Par Toutatis !,Astérix,Mission Cléopâtre
asterix_ils_sont_fous_ces_romains.mp3,Ils sont fous ces Romains.,Obélix,Mission Cléopâtre
asterix_alors_heureux.mp3,"Alors, heureux ?",Otis,Mission Cléopâtre
asterix_vous_allez_voir_ce_que_vous_allez_voir.mp3,Vous allez voir ce que vous allez voir.,Amonbofis,Mission Cléopâtre
asterix_otis.mp3,Otis !,Numérobis,Mission Cléopâtre
asterix_exemple_a_remplacer.mp3,Remplace cette ligne par ta réplique,Personnage,
