file,title,character,episode
jc_convenant_avec_un_t.mp3,"Convenant avec un -t, comme très très riche !",Jean-Claude Convenant,
jc_cons_en_promo.mp3,"Quand les cons seront en promo, tu seras en tête de gondole !",Jean-Claude Convenant,
jc_tempete_dans_leur_gueule.mp3,"À la prochaine provocation, opération Tempête dans leur gueule !",Jean-Claude Convenant,
jc_gonzesses_prises_electriques.mp3,"Les gonzesses, c'est comme les prises électriques",Jean-Claude Convenant,
jc_72_au_test_de_qi.mp3,On a fait 72 au test de QI… à nous quatre !,Jean-Claude Convenant,
jc_passe_par_devant.mp3,Jean-Claude Convenant passe par devant !,Jean-Claude Convenant,
jc_20_ans_sur_les_routes.mp3,20 ans que je me casse le cul sur les routes de France,Jean-Claude Convenant,
jc_les_gosses_plus_belle_chose.mp3,"Les gosses, c'est la plus belle chose qui puisse t'arriver",Jean-Claude Convenant,
jc_jardin_garage_tout_seul.mp3,"J'ai tout refait avec mes mains, même le jardin et le garage",Jean-Claude Convenant,
herve_laetitia_casta_bingo.mp3,Tirer Laetitia Casta et toucher le Bingo,Hervé Dumont,
herve_un_mome_c_est_dangereux.mp3,"C'est dangereux un môme, très dangereux Jean-Claude",Hervé Dumont,
herve_chacun_72.mp3,Chacun 72 ?,Hervé Dumont,
maeva_pouffiasse.mp3,"Pouffiasse, celui-là il risque pas de disparaître",Maéva,
maeva_dictee_de_pivot.mp3,"À la dictée de Pivot, tout le monde a fait une faute",Maéva,
exemple_a_remplacer.mp3,Remplace cette ligne par ta réplique,Personnage,
