file,title,character,episode
rid01.mp3,Il ne peut plus rien nous arriver,Simon,
rid02.mp3,L'aspirateur !,Simon,
rid03.mp3,Attention Benjamin !,,
rid04.mp3,Pourriture communiste !,Simon,
rid05.mp3,Je vous pisse à la raie,Odile,
rid06.mp3,"Chérie, ça va couper...",,
rid07.mp3,J'ai perdu ma mère ce matin,Serge,
rid08.mp3,Mon chien est mort,Serge,
rid09.mp3,Vous connaissez Cannes ?,Serge,
rid10.mp3,Je suis le Pape,Serge,
rid100.mp3,Revoilà la sous-préfète,,
rid101.mp3,Se faire dessus,Serge,
rid11.mp3,Il fallait que j'en prende ?,Simon,
rid12.mp3,Et votre soeur ?,Serge,
rid13.mp3,Vomissement,Simon,
rid14.mp3,Quand je suis content...,Simon,
rid15.mp3,Hyper content 1,Simon,
rid16.mp3,Jetez moi ici,Odile,
rid17.mp3,On peut se tutoyer ?,Serge,
rid18.mp3,De bonnes gencives de porc,Serge,
rid19.mp3,Hyper content 2,Simon,
rid20.mp3,Laissez la police faire son travail,Patrick,
rid21.mp3,Entretien filmé,Patrick,
rid22.mp3,Entretien pas filmé,Patrick,
rid23.mp3,Choucroute interdite,,
rid24.mp3,Mangeage de choucroute prohibé,Odile,
rid25.mp3,Personne n'a dit...,Patrick,
rid26.mp3,Sarah Connor ?,Odile,
rid27.mp3,Sécu !,Serge,
rid28.mp3,Séropositive,Serge,
rid29.mp3,Pendant ce temps,,
rid30.mp3,Cons de mimes,Serge,
rid31.mp3,Nous finirons par le coincer,Patrick,
rid32.mp3,Castors lapons,,
rid33.mp3,Snow White,,
rid34.mp3,Quelques clapiottes,Patrick,
rid35.mp3,Parlez moi de vous plutôt,Odile,
rid36.mp3,Moutarde et cinéma,Odile,
rid37.mp3,Ne me mange pas,,
rid38.mp3,Crème épaisse,Patrick,
rid39.mp3,Rick Hunter,Serge,
rid40.mp3,Celles que j'ai escortées,Serge,
rid41.mp3,Escorte 1,Serge,
rid42.mp3,Escorte 2,Serge,
rid43.mp3,Escorte 3,Serge,
rid44.mp3,Mozart,Odile,
rid45.mp3,Un Whisky ?,Odile,
rid46.mp3,Tu as une brosse ?,Odile,
rid47.mp3,Pullover et moule,Patrick,
rid48.mp3,Si je la vois,Serge,
rid49.mp3,Pour des raisons de budget...,,
rid50.mp3,Musique 1,,
rid51.mp3,Musique 2,,
rid52.mp3,Musique 3,,
rid53.mp3,Tu fais bien le chat,,
rid54.mp3,Ça va trancher,,
rid55.mp3,Serial Killer,Serge,
rid56.mp3,Laissez la police bla bla,Serge,
rid57.mp3,Bout de pomme de terre,Serge,
rid58.mp3,Enorme tapette à souris,Serge,
rid59.mp3,Prenez un chewing gum,Emile,
rid60.mp3,Une fois mille personnes,Emile,
rid61.mp3,Tchut tchut,,
rid62.mp3,Remboursez !,,
rid63.mp3,Ça tombe bien,,
rid64.mp3,Carioca - Intro,Serge,
rid65.mp3,Attention Emile !,Simon,
rid66.mp3,Mange ça !,Simon,
rid67.mp3,Bouche fermée,Simon,
rid68.mp3,Tapette géante,Serge,
rid69.mp3,Tu bluffes,Patrick,
rid70.mp3,C'est une horreur,Serge,
rid71.mp3,J'ai plus de genou,Serge,
rid72.mp3,Pastèque,Serge,
rid73.mp3,Parlez moi encore,Odile,
rid74.mp3,On peut tromper...,Emile,
rid75.mp3,"En fait, c'est moi !",,
rid76.mp3,Dites le !,,
rid77.mp3,Vomissement 2,Simon,
rid78.mp3,Hyper content 3,Simon,
rid79.mp3,Chinois vs italien,Simon,
rid80.mp3,Safrane limitée,Serge,
rid81.mp3,Let the police,Patrick,
rid82.mp3,Låt polisen,Patrick,
rid83.mp3,Plic ploc,,
rid84.mp3,Carioca,,
rid85.mp3,Sandy ! Attention !,Simon,
rid86.mp3,Vous êtes ?,Odile,
rid87.mp3,Aréoport,,
rid88.mp3,C'est elle !,Serge,
rid89.mp3,Skol Ofrenstrü,Simon,
rid90.mp3,Étrange légume,,
rid91.mp3,Combien ?,,
rid92.mp3,Mélodie,,
rid93.mp3,Odile !,Serge,
rid94.mp3,Loulou ?,,
rid95.mp3,Sûrement un musicien,Patrick,
rid96.mp3,Véritable boucherie,,
rid97.mp3,Kinoton,Serge,
rid98.mp3,Banco,,
rid99.mp3,Réponse : rien,Serge,
