file,title,character,episode
capotes.mp3,Mettez des capotes.,George Abitbol,
joue.mp3,Bien joué les gars.,George Abitbol,
excuses.mp3,Il va sans doute nous présenter ses excuses.,George Abitbol,
julienlepers.mp3,"Mon émission passe tous les soirs à 18 h 35, je pose des questions à des champions, je suis ? Je suis ?",George Abitbol,
cinq.mp3,"Alors une, je ne m'en souviens pas, deux je ne suis pas resté longtemps, et enfin cinq… il y a pas de cinq.",George Abitbol,
tomate.mp3,"Regarde, c&#x27;est lui, il est là.",George Abitbol,
trouble.mp3,"En tout cas s'il cherchait pour du trouble, il est venu à la bonne place.",George Abitbol,
rougir.mp3,"Nan, arrêtez, vous me gênez, je vais rougir.",George Abitbol,
gene.mp3,"Vous arrivez vous êtes même pas chez vous. Vous vous pointez avec trois quarts d&#x27;heure d&#x27;retard. Pas bonjour, pas merci. Vous filez tout droit au frigo. Vous prenez la dernière bière. Ah ! Vous vous êtes un sacré sans-gêne.",George Abitbol,
buse.mp3,Vous me prenez pour une buse ?,George Abitbol,
poete.mp3,"Quel poète, vous me surprenez. On ne m'a jamais parlé comme ça.",George Abitbol,
muscle.mp3,Tu trouves pas que je me suis musclé ces derniers temps ?,George Abitbol,
blaireau.mp3,"Mon plus grand plaisir serait que tu te calmes, gros blaireau.",George Abitbol,
regimes.mp3,"Alors toi, mec, avec tes régimes à la con, tu me fais bien marrer.",George Abitbol,
burgers.mp3,Ça doit être les burgers.,George Abitbol,
breakdown.mp3,J&#x27;suis limite nervous breakdown.,George Abitbol,
divorce.mp3,"En y réflechissant bien, je pense que notre histoire n&#x27;a pas une chance sur cent de marcher. On divorce ?",George Abitbol,
anglais.mp3,Tiens regarde les anglais ont débarqué. On va être obligés de passer par derrière. Tu sais par ce tunnel tout sombre qui sent pas très bon.,George Abitbol,
duel.mp3,"Ok, puisque j&#x27;vois qu&#x27;on peut pas discuter, on va faire un duel.",George Abitbol,
bienvenue.mp3,"Messieurs, permettez-moi de vous souhaiter la bienvenue. D&#x27;ailleurs, il faut pas rester debout, asseyez-vous, mettez-vous à l'aise.",George Abitbol,
acte.mp3,vous m'aviez proposé de… comment dire… de faire le… j'aimerais bien passer à l'acte sexuel.,George Abitbol,
ranch.mp3,Et c&#x27;est façile de traiter les gens de pédés. Tout ça parce que deux garçons vivent ensemble dans un ranch et portent des pantalons en cuir.,George Abitbol,
con_.mp3,Rassurez-moi. Vous seriez pas un peu en train d&#x27;me prendre pour un con des fois ?,George Abitbol,
string.mp3,"En string, vous d&#x27;vez être bonne.",George Abitbol,
choucroute.mp3,"Eh, la choucroute ! Si tu veux une saucisse…",George Abitbol,
qualite.mp3,J&#x27;te dis ça en qualité d&#x27;homme le plus classe du monde.,George Abitbol,
assassine.mp3,On l&#x27;a retrouvé assassiné un jour. Il en est mort.,George Abitbol,
tendre.mp3,"Aime-moi tendre, aime-moi vrai.",George Abitbol,
comprendre.mp3,"C&#x27;est ça. C&#x27;est à n&#x27;y rien comprendre, même en y réfléchissant bien.",George Abitbol,
tolerance.mp3,"Il paraît que t&#x27;as des propos intolérables. Où y&#x27;a pas d&#x27;tolérance ? Tu sais donc pas qu&#x27;c&#x27;est pas bien d&#x27;être raciste ? Que c&#x27;est mal ? On n&#x27;doit pas faire de discrimation raciale. C&#x27;est mal. Juger les gens sur leur religion c&#x27;est mal. Sur la couleur de leur peau, sur leurs origines sociales ou sur leur nationalité, c&#x27;est mal.",George Abitbol,
pins.mp3,C&#x27;que j&#x27;arrête c&#x27;est les Pin&#x27;s vieux. Ça m&#x27;fait plus marrer.,George Abitbol,
idee.mp3,"Oui, on en a chié pour trouver cette idée, on a été charrette.",George Abitbol,
bac.mp3,"Au revoir messieurs dames. C&#x27;est ça la puissance intellectuelle. Bac+2, les enfants.",George Abitbol,
nichons.mp3,"Elle s'est fait refaire les nichons, elle. Et je sais de quoi je parle.",George Abitbol,
elvis.mp3,Un pour l&#x27;argent. Deux pour le spectacle. Et trois pour le caillou.,George Abitbol,
savoirvivre.mp3,"Merci m&#x27;sieur, c&#x27;est très gentil.",George Abitbol,
seins.mp3,J'aime vos seins. Vos loches.,George Abitbol,
foutre.mp3,Vous dites que j&#x27;aille me faire foutre ? OK j&#x27;y vais.,George Abitbol,
demerder.mp3,"Putain, j&#x27;me suis mal démerdé. Pourtant, j&#x27;ai pas fait une concession.",George Abitbol,
democrate.mp3,"Parce que si on réfléchit bien, moi je suis un vrai démocrate.",George Abitbol,
pasteques.mp3,Ah je te jure. J'ai les pastèques.,George Abitbol,
fromage.mp3,"Bon, on va pas en faire un fromage. Je m'en suis sorti sans problème.",George Abitbol,
croire.mp3,Comment peux-tu croire des conneries pareilles ?,George Abitbol,
espagnol.mp3,Buenas noches.,George Abitbol,
cul.mp3,Et ça chauffera pour ton cul.,George Abitbol,
pietons.mp3,Quels connards ces piétons !,George Abitbol,
