file,title,character,episode
pignon01.mp3,L'historique de la louche,Pierre,
pignon02.mp3,Regardez moi ce c**nard !,François,
pignon03.mp3,Ils sont là pour ça,Pierre,
pignon04.mp3,C'est pathétique,Pierre,
pignon05.mp3,Répondeur,François,
pignon06.mp3,Ne m'invitez jamais à diner,,
pignon07.mp3,Une belle tête,Pierre,
pignon08.mp3,Combien d'allumettes ?,François,
pignon09.mp3,C'est un c** !,François,
pignon10.mp3,Jean-Patrice Benjamin,François,
pignon11.mp3,Peine à voir,François,
pignon12.mp3,Oh la la,François,
pignon13.mp3,Rilax,François,
pignon14.mp3,Effrayant,François,
pignon15.mp3,Imbécile,François,
pignon16.mp3,J'ai compris,François,
pignon17.mp3,Bougrement intelligent,François,
pignon18.mp3,Il a pas de prénom !,Pierre,
pignon19.mp3,Lui c'est pareil,Pierre,
pignon20.mp3,Accent belge ?,Pierre,
pignon21.mp3,Allô !,François,
pignon22.mp3,Juste une fois,François,
pignon23.mp3,Le petit cheval de manège,Pierre,
pignon24.mp3,Pour le cinéma,François,
pignon25.mp3,À demain,François,
pignon26.mp3,On a les droits !,François,
pignon27.mp3,Il a marché à fond,François,
pignon28.mp3,Boulette,François,
pignon29.mp3,Ça dépasse tout,Pierre,
pignon30.mp3,Pas de repos,Pierre,
pignon31.mp3,Champion du monde,Pierre,
pignon32.mp3,Il est content,Pierre,
pignon33.mp3,Sans me vanter,François,
pignon34.mp3,Je vous em***de,Pierre,
pignon35.mp3,Ça n'arrête pas,François,
pignon36.mp3,Vous allez nous lâcher ?,Pierre,
pignon37.mp3,Beau derrick,François,
pignon38.mp3,Je m'en fous,Pierre,
pignon39.mp3,Toute la soirée avec ce con,Juste,
pignon40.mp3,Appeler Cheval,François,
pignon41.mp3,Tout va s'arranger,François,
pignon42.mp3,Monsieur l'Auxerrois,Cheval,
pignon43.mp3,Des guignols !,Cheval,
pignon44.mp3,Dans l'cul Lulu !,François,
pignon45.mp3,Vas te faire !,Cheval,
pignon46.mp3,Quel c*nnard ce type !,François,
pignon47.mp3,Aux chiottes l'OM !,François,
pignon48.mp3,Allez l'OM !,Pierre,
pignon49.mp3,T'es pas son genre,Cheval,
pignon50.mp3,Cochon !,Cheval,
pignon51.mp3,T'es vraiment chiant,Cheval,
pignon52.mp3,Prodigieux,Juste,
pignon53.mp3,Il est con hein ?,Cheval,
pignon54.mp3,Il a compris,Cheval,
pignon55.mp3,Vengeance,Pierre,
pignon56.mp3,Méchant vs Mignon,Pierre,
pignon57.mp3,Un peu pressé,François,
pignon58.mp3,Elle est bretonne ?,François,
pignon59.mp3,"Ah ouais, joli !",François,
pignon60.mp3,Ah oui !,François,
pignon61.mp3,J'ai pas de soeur,François,
pignon62.mp3,De qui il parle ?,Marlène,
pignon63.mp3,Saisi récemment ?,Cheval,
pignon64.mp3,Y'avait un bibelot,Cheval,
