file,title,character,episode
kassos00.mp3,Générique,,
kassos01.mp3,On est des boloss,Les Canards Juniors,
kassos02.mp3,Le pipi,Aspégix et Grodébilix,
kassos03.mp3,Comment ne pas perdre...,Monsieur Patatos,
kassos04.mp3,Dis bonjour,Muldor & Scoully,
kassos05.mp3,Là je pense à quoi ?,Muldor & Scoully,
kassos06.mp3,Ta gueule,Lieutenant Dirty Gadgette,
kassos07.mp3,Terroire,Aspégix et Grodébilix,
kassos08.mp3,La racaille,Lieutenant Dirty Gadgette,
kassos09.mp3,Gogo Gadgeto 1,Lieutenant Dirty Gadgette,
kassos100.mp3,Zut,Dr Mesboules,
kassos101.mp3,Coïncidence créole,Pirate des Antilles,
kassos102.mp3,État d'urgence,Alladech,
kassos103.mp3,Pain dans ta gueule,Alladech,
kassos104.mp3,Dannnny,Shaïning,
kassos105.mp3,Irito,Les I-Mens,
kassos106.mp3,Ostis d'mongoles,Les I-Mens,
kassos107.mp3,Invasion hobbit,Les Elfen,
kassos108.mp3,Invasion hobbit 2,Les Elfen,
kassos109.mp3,Jokerini !,Jokerini,
kassos11.mp3,Boisson de moustachu,Aspégix et Grodébilix,
kassos110.mp3,Ah d'accord,Frozen Yogourt,
kassos111.mp3,Nordic Amouc,Totof,
kassos112.mp3,El Loucoum,Totof,
kassos113.mp3,Ça fait mal,The Cockring,
kassos114.mp3,Enorme mongole,Moc & Darty 2,
kassos115.mp3,Baise ta fille,Moc & Darty 2,
kassos116.mp3,L'hiver...,Moc & Darty 2,
kassos117.mp3,Retraite,Moc & Darty 2,
kassos118.mp3,Passif aggressif,Les Chevaliers de l'Horoscope,
kassos119.mp3,T'es taré ?!,Les Chevaliers de l'Horoscope,
kassos12.mp3,Trop de questions,Muldor & Scoully,
kassos120.mp3,Poil de Pégase,Les Chevaliers de l'Horoscope,
kassos121.mp3,Okay,Les Chevaliers de l'Horoscope,
kassos122.mp3,N'attache pas tes poils...,Serge le lapin,
kassos123.mp3,Ne mets pas ton prépuce...,Serge le lapin,
kassos124.mp3,Ne remets pas tes testicules...,Serge le lapin,
kassos125.mp3,Couper des têtes,Ptiripou,
kassos126.mp3,Oh ça va !,Teleboubizes,
kassos127.mp3,Tu veux quoi ?,Teleboubizes,
kassos128.mp3,Pour la Gaule !,Aspégix et Grodébilix,
kassos129.mp3,Pas banal,Nemo t'es ken,
kassos13.mp3,Te mêle pas de ça,Muldor & Scoully,
kassos130.mp3,Relâche le poisson,Nemo t'es ken,
kassos131.mp3,Chanson pour ma bite,Papy Fougasse,
kassos132.mp3,Victime,Fortnaze,
kassos133.mp3,Jimmy Lannister,Jimmy Lannister,
kassos134.mp3,La maman du Corbeau,Fortnaze,
kassos135.mp3,SIDA,Stranger Thin,
kassos136.mp3,Complètement con,Dessenaute,
kassos137.mp3,Refaire ma vie,La gène est dans le près,
kassos138.mp3,Attention Virginie,La gène est dans le près,
kassos139.mp3,Comme une reine,La gène est dans le près,
kassos14.mp3,Refus de traitement,Muldor & Scoully,
kassos140.mp3,Demonia,Hellbol,
kassos141.mp3,Tu te fous de qui ?,Hellbol,
kassos142.mp3,Pas net,Hellbol,
kassos143.mp3,C'est quoi la mission ?,Totally Spé,
kassos144.mp3,C'est qui qui t'embête ?,Dessenaute,
kassos145.mp3,Kevin va mourrir,Dessenaute,
kassos146.mp3,C'est mon cahier !,Dessenaute,
kassos147.mp3,Hydroalcolix,Hydroalcolix,
kassos148.mp3,Conarovirus,Hydroalcolix,
kassos149.mp3,Dans les muqueuses !,Hydroalcolix,
kassos15.mp3,T'es en train de filmer ?,Muldor & Scoully,
kassos150.mp3,C'est iodé,Hydroalcolix,
kassos151.mp3,Toussez dans le coude !,Hydroalcolix,
kassos152.mp3,Elle réduit le pénis,Ptiripou,
kassos153.mp3,Alerte à Malibu,KK2000,
kassos154.mp3,Turbo boost,KK2000,
kassos155.mp3,Salam Alaykoum,Dumboff,
kassos156.mp3,On fait tourner les nichons,Dumboff,
kassos157.mp3,Je suis la carte,Gadgette & Gora 2,
kassos158.mp3,Pablo !,Gadgette & Gora 2,
kassos159.mp3,Fils de pute,Gadgette & Gora 2,
kassos16.mp3,Pas autant de chichis,Marius & Gigi,
kassos160.mp3,"1, 2, 3, respire !",Gadgette & Gora 2,
kassos161.mp3,Adios Pepito,Gadgette & Gora 2,
kassos162.mp3,Pas la maréchaussée,Street Kasseur,
kassos163.mp3,C'est pas ta mère,Shrank & Sonya,
kassos164.mp3,Dans le respect...,Charles Ingalls de Ligones,
kassos165.mp3,C'est toi va te faire !,Diesel & Sansplomb,
kassos166.mp3,Tête de con,Teleboubizes,
kassos167.mp3,Belle bête,Chasse Pêche & Predation,
kassos168.mp3,Il est pas épais,Chasse Pêche & Predation,
kassos169.mp3,Pas une mauvaise idée,Chasse Pêche & Predation,
kassos17.mp3,Petit bambino,Marius & Gigi,
kassos170.mp3,Vif d'or,Les Z'Amants,
kassos171.mp3,T'étais roux,Les Z'Amants,
kassos172.mp3,Tokyo Hotel,Naroute,
kassos173.mp3,Point de coté,Naroute,
kassos174.mp3,Tu fais quoi maintenant ?,Naroute,
kassos175.mp3,Faut vous détendre,Sandy,
kassos176.mp3,C'est pour ma poule,Monsieur Zelda,
kassos177.mp3,Je le vois bien...,Jurasitcom,
kassos178.mp3,J'en ai plus que le crétacé,Jurasitcom,
kassos179.mp3,Oups,Les Proumfs,
kassos18.mp3,Enquiquinant !,Monsieur Patatos,
kassos180.mp3,Profonde douleur,Les Proumfs,
kassos181.mp3,Musique satanique,Sandy,
kassos182.mp3,Cumulonimbus,Sandy,
kassos183.mp3,Gare à ton cul,Naroute,
kassos184.mp3,Put**n de m*rde,Les Daltonne,
kassos185.mp3,Pardon ?!,Aspégix et Grodébilix,
kassos186.mp3,Ça envoie !,Ouai-ouai,
kassos187.mp3,Tu fais quoi Tommy ?,Les Randonneurs Blancs,
kassos188.mp3,On fait un hug,Les Randonneurs Blancs,
kassos189.mp3,Si t'as un dragon...,Les Randonneurs Blancs,
kassos19.mp3,Porte ouverte,Marius & Gigi,
kassos190.mp3,On va leur défoncer la gueule,Les Randonneurs Blancs,
kassos191.mp3,Filament !,Spideurman,
kassos192.mp3,Antilopes et herbe,Le Roi Fion,
kassos193.mp3,Le cycle de la vie,Le Roi Fion,
kassos194.mp3,Grow the fu** up,Alladech,
kassos195.mp3,Harcèlement de rue,Alladech,
kassos196.mp3,Terroristes de l'amour,Alladech,
kassos197.mp3,Jackyra,Jackyra,
kassos198.mp3,Grosse chéper,Teleboubizes,
kassos199.mp3,Tu sais faire ça ?,Petit Prince,
kassos20.mp3,Je vous rejoins ?,Marius & Gigi,
kassos200.mp3,Dis bonjour Totogro,Totogro,
kassos201.mp3,Totogro,Totogro,
kassos202.mp3,Je dois répéter ?,Expandehpad,
kassos203.mp3,Couvert de mon ami,Expandehpad,
kassos204.mp3,Yippee-ki-yay,Expandehpad,
kassos205.mp3,Pute à pois,Totally Spé,
kassos206.mp3,À couvert !,Gadgette & Gora 2,
kassos207.mp3,Vaurien !,Alladech,
kassos208.mp3,Darty papa,Moc & Darty,
kassos209.mp3,Bug Arnaud,Expandehpad,
kassos21.mp3,Merci Papy,La Famille Sodo,
kassos210.mp3,Super Smashos,Super Smashos,
kassos211.mp3,Clic,Super Smashos,
kassos212.mp3,Pegging 18,Super Smashos,
kassos213.mp3,T'as fait un pâté !,Dessenaute,
kassos214.mp3,Hébreu,Hellbol,
kassos215.mp3,Bonjour madame,Les Canards Juniors,
kassos216.mp3,Pas dans la cave,Les Canards Juniors,
kassos217.mp3,On montre pas du doigt,Bonne nuit les chiards,
kassos218.mp3,Douce mélodie,Bonne nuit les chiards,
kassos219.mp3,Vous avez été sages ?,Bonne nuit les chiards,
kassos22.mp3,Tu fermes bien ta gueule,La Famille Sodo,
kassos220.mp3,Encore eux,Gadget & Gora,
kassos221.mp3,Gogo Gadgeto 2,Lieutenant Dirty Gadgette,
kassos222.mp3,Gogo Gadgeto 3,Lieutenant Dirty Gadgette,
kassos223.mp3,Ça l'a calmé,Lieutenant Dirty Gadgette,
kassos224.mp3,Ma moquette !,,
kassos225.mp3,Vitesse 3,Teleboubizes,
kassos226.mp3,Attends ta gueule,Teleboubizes,
kassos227.mp3,Buvons ensemble,Pirate des Antilles,
kassos228.mp3,J'suis avec les cons,La Famille Sodo,
kassos229.mp3,54 ans,Les Daltonne,
kassos23.mp3,Gros dégueu,La Famille Sodo,
kassos230.mp3,Quatorzième chance,Les Daltonne,
kassos231.mp3,L'autre con,Les Tortues Clodo,
kassos232.mp3,Bite ?,Papy Fougasse,
kassos233.mp3,Ah ouais ouais ouais !,Papy Fougasse,
kassos234.mp3,Allez vous faire...,La Casa du papier A4,
kassos235.mp3,En avant Guingamp,La Casa du papier A4,
kassos236.mp3,Bella Ciao,La Casa du papier A4,
kassos237.mp3,Faut que ça imbibe,Aspégix et Grodébilix,
kassos238.mp3,Suce ma **** joufflue,Gaggum,
kassos239.mp3,Déféquer sur ma moquette,T'es Net,
kassos24.mp3,La Force et tout le merdier,La Famille Sodo,
kassos240.mp3,On sait que c'est bon,Gaggum,
kassos241.mp3,Golum ! Golum !,Gaggum,
kassos242.mp3,Je suis Maximus,Glaviator,
kassos243.mp3,Ce que l'on fait dans sa vie,Glaviator,
kassos244.mp3,WallA,Wall-A,
kassos245.mp3,Le Jason bouge plus,Le Pokémouille Légendaire,
kassos246.mp3,Grocaillou,Le Pokémouille Légendaire,
kassos247.mp3,C'est bien Grocaillou,Le Pokémouille Légendaire,
kassos248.mp3,Ne trempes pas...,Dirty Fisting,
kassos249.mp3,Y'a des nuggets,Dirty Fisting,
kassos25.mp3,Ne mets pas tes doigts...,Lapin du métro,
kassos250.mp3,Gogo gadget foreuse,Dirty Fisting,
kassos251.mp3,T'en veux encore ?,Dirty Fisting,
