file,title,character,episode
a_wing.mp3,A-Wing,Vaisseaux,
b_wing.mp3,B-Wing,Vaisseaux,
blaster.mp3,Blaster,Armes,
faucon_millenium.mp3,Faucon Millenium,Vaisseaux,
moteur_de_tie.mp3,Moteur de TIE,Vaisseaux,
n1_naboo.mp3,Chasseur N-1 (Naboo),Vaisseaux,
navette_imperiale.mp3,Navette imperiale,Vaisseaux,
respiration_dark_vador.mp3,Respiration de Dark Vador,Dark Vador,
snowspeeder.mp3,Snowspeeder,Vaisseaux,
slave_1.mp3,Slave 1,Vaisseaux,
tie.mp3,Chasseur TIE,Vaisseaux,
tie_x1.mp3,TIE Advanced x1,Vaisseaux,
vol_au_milieu_de_tie.mp3,Vol au milieu des TIE,Vaisseaux,
y_wing.mp3,Y-Wing,Vaisseaux,
vol_en_snowspeeder.mp3,Vol en Snowspeeder,Vaisseaux,
x_wing.mp3,X-Wing,Vaisseaux,
yoda_3.mp3,Yoda (3),Yoda,
yoda_9.mp3,Yoda (9),Yoda,
yoda_luke.mp3,Yoda & Luke,Yoda & Luke,
yoda_2.mp3,Yoda (2),Yoda,
yoda.mp3,Yoda,Yoda,
yoda_8.mp3,Yoda (8),Yoda,
yoda_7.mp3,Yoda (7),Yoda,
yoda_6.mp3,Yoda (6),Yoda,
yoda_5.mp3,Yoda (5),Yoda,
vador_palpatine.mp3,Vador & Palpatine,Dark Vador & Palpatine,
vador_fett.mp3,Vador & Boba Fett,Dark Vador & Boba Fett,
obiwan.mp3,Obi-Wan,Obi-Wan Kenobi,
luke_yoda_2.mp3,Luke & Yoda (2),Yoda & Luke,
leia_han.mp3,Leia & Han,Leia & Han,
leia_han_6po.mp3,"Leia, Han & C-3PO",Leia & Han,
c3po_han.mp3,C-3PO & Han,C-3PO,
c3po_leia.mp3,C-3PO & Leia,C-3PO,
