file,title,character,episode
coupelo01.mp3,Générique 2,,
coupelo02.mp3,Merci Itineris,Jacquard,
coupelo03.mp3,On approche d'Aouste,,
coupelo04.mp3,Tu comprends le Français ?,Jacquard,
coupelo05.mp3,Beau poissonnet,Jacquouille,
coupelo06.mp3,Okay 2,Jacquouille,
coupelo07.mp3,De la grosse andouille,Jacquouille,
coupelo08.mp3,Mange ça !,Jacquouille,
coupelo09.mp3,Molo,Ginette,
coupelo10.mp3,La priorité,Ginette,
coupelo11.mp3,Peau de zobe,Ginette,
coupelo12.mp3,Pizza Hut,,
coupelo13.mp3,Clairon,Jacquouille,
coupelo14.mp3,Pitence et gîte,Jacquouille,
coupelo15.mp3,Volonté de dur labeur,Jacquouille,
coupelo16.mp3,Carrelage impec,Béatrice,
coupelo17.mp3,Satanerie !,Jacquouille,
coupelo18.mp3,Qu'est ce qu'ils ont foutu,,
coupelo19.mp3,J'ouis,Jacquouille,
coupelo20.mp3,Voilà l'eau !,Jacquouille,
coupelo21.mp3,Prosper le purineur,,
coupelo22.mp3,Abruti qui aboie 2,Jacquouille,
coupelo23.mp3,Concone toi même,Ginette,
coupelo24.mp3,Grand merci,Jacquouille,
coupelo25.mp3,Changé en merdasse,Jacquouille,
coupelo26.mp3,Ça nous fait des briques,Ginette,
coupelo27.mp3,Santé les gueux,Jacquouille,
coupelo28.mp3,Bibine,,
coupelo29.mp3,Défenestrer Derrick,,
coupelo30.mp3,La ferme,,
coupelo31.mp3,Arrêtez de gueuler !,,
coupelo32.mp3,Bel exploit,Jacquouille,
coupelo33.mp3,Ils sont revenus les malades,,
coupelo34.mp3,Fais ton devoir,Godefroy,
coupelo35.mp3,Il faut couper la langue !,Jacquouille,
coupelo36.mp3,Haut / Bas,Jacquouille,
coupelo37.mp3,Sur un autre ton !,Ginette,
coupelo38.mp3,C'est évident !,,
coupelo39.mp3,Rendre gorge...,Jacquouille,
coupelo40.mp3,Compliments,Godefroy,
coupelo41.mp3,On te coupe la main ?,Jacquouille,
coupelo42.mp3,Vigoureux puceau,Godefroy,
coupelo43.mp3,Adieu gentes dames,Jacquouille,
coupelo44.mp3,Silence la gueuse,Godefroy,
poncho01.mp3,Il est futé,Godefroy,
poncho02.mp3,C'est diablerie,Jacquouille,
poncho03.mp3,Une grosse bête,Godefroy,
poncho04.mp3,Un drôle de goût,Jacquouille,
poncho05.mp3,Ça puire,Jacquouille,
poncho06.mp3,Messire ! Un sarrasin !,Jacquouille,
poncho07.mp3,Une chariotte du diable,Jacquouille,
poncho08.mp3,Silence !,Godefroy,
poncho09.mp3,Prends ça et va ton chemin,Godefroy,
poncho10.mp3,Silence manante,Godefroy,
poncho11.mp3,Chochotte,Ginette,
poncho12.mp3,Merci la gueuse,Jacquouille,
poncho16.mp3,Abjecte dentition,,
poncho17.mp3,Je ne suis pas une mule,Jacquouille,
poncho18.mp3,La septicémie n'est pas loin,,
poncho19.mp3,Odeur insoutenable,,
poncho20.mp3,Cousin violent,,
poncho21.mp3,Odeur de bouc,,
poncho22.mp3,Deux cinglés,,
poncho23.mp3,Je n'en sais rien,Béatrice,
poncho24.mp3,Complètement cons,,
poncho25.mp3,Hystéro,Béatrice,
poncho26.mp3,Abruti qui aboie,Jacquouille,
poncho27.mp3,Jour / Nuit,Jacquouille,
poncho28.mp3,Un mari sympa,Béatrice,
poncho30.mp3,Pas avec votre poncho,Béatrice,
poncho31.mp3,Sale trogne,Jacquouille,
poncho32.mp3,On est en république,Jacquard,
poncho33.mp3,Vous pétez les plombs,Béatrice,
poncho34.mp3,Clochards dans le salon,,
poncho35.mp3,Croutes de fromage,Béatrice,
poncho36.mp3,Elle est ni**ée,Jacquard,
poncho37.mp3,C'est OK,Jacquouille,
poncho38.mp3,Qu'est que ça peut nous faire ?,Jacquard,
poncho39.mp3,Dehors les romanos,Jacquard,
poncho40.mp3,Point illuminé,Jacquouille,
poncho41.mp3,C'est dingue,,
poncho42.mp3,Okay,Jacquouille,
poncho43.mp3,Qu'est ce qui lui prend ?,Jacquard,
poncho44.mp3,Accidentée du travail,Ginette,
poncho45.mp3,Plus joli noeud pap,Ginette,
poncho46.mp3,Binz,Jacquard,
poncho47.mp3,Dehors les clodos,Jacquard,
poncho48.mp3,Je m'en fous,Jacquard,
poncho49.mp3,Lâche la bête !,Jacquard,
poncho50.mp3,Que fait ton mari ?,Godefroy,
poncho51.mp3,J'en ai marre !,,
poncho52.mp3,Moi je ne vous demande pas...,Jacquard,
poncho53.mp3,Binz 2,Jacquard,
poncho54.mp3,Saint Denis !,Godefroy,
poncho55.mp3,C'est des malades,,
poncho56.mp3,Non,Jacquouille,
poncho57.mp3,Dame Béatrice,Jacquouille,
poncho58.mp3,Et on lui pèlera le jonc,Jacquouille,
poncho59.mp3,Générique 1,,
poncho60.mp3,En l'an de grâce...,,
poncho61.mp3,Réfugiée politique,Ginette,
poncho62.mp3,Coupez l'eau,Jacquouille,
poncho63.mp3,Quand tu te mouches,Ginette,
poncho64.mp3,T'as **qué la comtesse,Ginette,
